tipo,clase,marca,linea,cilindraje,tonelaje,pasajeros,valor_2001_o_anterior,valor_2002,valor_2003,valor_2004,valor_2005,valor_2006,valor_2007,valor_2008,valor_2009,valor_2010,valor_2011,valor_2012,valor_2013,valor_2014,valor_2015,valor_2016,valor_2017,valor_2018,valor_2019,valor_2020,valor_2021,valor_2022,valor_2023,valor_2024,valor_2025
AUTOMOVILES,AUTOMOVIL,ACCURA,ACURA,3200,0.0,0,13250.0,19190.0,21090.0,23170.0,24880.0,26480.0,28170.0,29980.0,32020.0,34040.0,36250.0,38520.0,41050.0,43650.0,46510.0,49520.0,52050.0,56120.0,61010.0,65890.0,71150.0,91380.0,104430.0,115600.0,123920.0
AUTOMOVILES,AUTOMOVIL,ACURA,INTEGRA (LINEA BASE ESTANDAR),1800,0.0,0,5470.0,5900.0,6330.0,6840.0,7300.0,7870.0,8480.0,9030.0,9770.0,10520.0,11250.0,12120.0,13030.0,14010.0,15050.0,16240.0,17510.0,18380.0,19890.0,21610.0,23340.0,25220.0,26980.0,28870.0,30950.0
AUTOMOVILES,AUTOMOVIL,ACURA,INTEGRA 1.8 2P MT,1800,0.0,0,6580.0,6960.0,7440.0,7990.0,8550.0,9030.0,9700.0,10400.0,11070.0,11810.0,12660.0,13460.0,14380.0,15380.0,16410.0,17510.0,18940.0,19860.0,21240.0,23080.0,24930.0,26920.0,28800.0,30820.0,33040.0
AUTOMOVILES,AUTOMOVIL,ACURA,INTEGRA 1.8 VTEC 4P MT,1797,0.0,0,5470.0,5900.0,6330.0,6840.0,7300.0,7870.0,8480.0,9030.0,9770.0,10520.0,11250.0,12120.0,13030.0,14010.0,15050.0,16240.0,17510.0,18380.0,19890.0,21610.0,23340.0,25220.0,26980.0,28870.0,30950.0
AUTOMOVILES,AUTOMOVIL,ACURA,LEGEND KA766P-L,3200,0.0,0,8210.0,9520.0,10110.0,10760.0,11480.0,12190.0,12980.0,13820.0,14730.0,15710.0,16690.0,17790.0,18910.0,20080.0,21450.0,22820.0,24010.0,26000.0,28260.0,30510.0,32940.0,35250.0,40280.0,43110.0,46210.0
AUTOMOVILES,AUTOMOVIL,ACURA,LINEAS Y CILINDRAJES NO INCLUIDOS ANTERIORES A AÑO BASE,1,0.0,0,330.0,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMOVILES,AUTOMOVIL,ACURA,NSX COUPE,3500,,,64910.0,73240.0,79140.0,85490.0,92300.0,99640.0,107660.0,116280.0,125590.0,135580.0,146470.0,158190.0,170820.0,184530.0,199270.0,215160.0,232420.0,251030.0,271070.0,292780.0,316180.0,341470.0,365380.0,390990.0,419140.0
AUTOMOVILES,AUTOMOVIL,ACURA,TL 2.5L AT,2500,0.0,0,7870.0,10060.0,10770.0,11610.0,12450.0,13360.0,14420.0,15480.0,16680.0,17870.0,19290.0,20680.0,22150.0,23910.0,25670.0,27720.0,29120.0,31240.0,33950.0,36680.0,39620.0,59200.0,67650.0,72390.0,77600.0
AUTOMOVILES,AUTOMOVIL,ACURA,TL 3.2L AT,3200,0.0,0,8600.0,15185.0,16479.0,17763.0,19291.0,21050.0,22666.0,24658.0,26019.0,28122.0,30490.0,33035.0,35669.0,40860.0,44236.0,47789.0,50146.0,53820.0,58501.0,63183.0,68241.0,104497.0,119420.0,132189.0,138540.0
AUTOMOVILES,AUTOMOVIL,ACURA,TSX 2.4 L AT,2400,0.0,0,8790.0,17376.0,18571.0,19755.0,21050.0,22301.0,23839.0,25023.0,25819.0,27016.0,28377.0,31398.0,34663.0,36842.0,39300.0,42488.0,44579.0,48154.0,52337.0,56532.0,61058.0,97635.0,111571.0,138816.0,145480.0
AUTOMOVILES,AUTOMOVIL,ALEKO,2141,1570,0.0,0,2630.0,2830.0,3000.0,3120.0,3390.0,3570.0,3820.0,4050.0,4360.0,4610.0,4920.0,5230.0,5530.0,5900.0,6330.0,6750.0,7140.0,7500.0,7960.0,8650.0,9340.0,10090.0,10790.0,11550.0,12380.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,33,1300,0.0,0,1470.0,1600.0,1740.0,1860.0,1930.0,2060.0,2240.0,2310.0,2510.0,2700.0,2760.0,2950.0,3130.0,3400.0,3590.0,3830.0,4170.0,4360.0,4740.0,5160.0,5550.0,6020.0,6430.0,6890.0,7390.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,159,2200,0.0,0,11510.0,16876.0,18344.0,19939.0,21672.0,23557.0,25605.0,27831.0,30251.0,32881.0,36478.0,38577.0,41664.0,44997.0,48597.0,52485.0,56683.0,61218.0,66115.0,71404.0,77117.0,83286.0,89948.0,97144.0,101810.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,159,3200,0.0,0,12010.0,18875.0,20516.0,22301.0,24239.0,26348.0,28639.0,31129.0,33836.0,36778.0,39976.0,41176.0,44471.0,48028.0,51870.0,56020.0,60501.0,65341.0,70569.0,76214.0,82311.0,88896.0,96007.0,103688.0,108670.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,155 TD,2000,0.0,0,6790.0,7240.0,7710.0,8270.0,8800.0,9360.0,9930.0,10580.0,11290.0,12060.0,12770.0,13600.0,14500.0,15460.0,16410.0,17450.0,18860.0,20470.0,22080.0,23990.0,25890.0,27970.0,29930.0,32030.0,34340.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,159 (LINEA BASE ESTANDAR),2200,0.0,0,11240.0,18280.0,19850.0,21550.0,23400.0,25400.0,27580.0,29940.0,32500.0,35280.0,37840.0,40560.0,43850.0,47410.0,51250.0,55410.0,59900.0,64760.0,70010.0,75690.0,81830.0,88470.0,95640.0,103400.0,108360.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,159 2.2 JTS Selespeed TP,2198,0.0,0,11510.0,16876.0,18344.0,19939.0,21672.0,23557.0,25605.0,27831.0,30251.0,32881.0,36478.0,38577.0,41664.0,44997.0,48597.0,52485.0,56683.0,61218.0,66115.0,71404.0,77117.0,83286.0,89948.0,97144.0,101810.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,ALFETTA,2000,0.0,0,2360.0,2580.0,2700.0,2830.0,3080.0,3200.0,3470.0,3660.0,3910.0,4170.0,4430.0,4740.0,5010.0,5320.0,5710.0,6100.0,6540.0,6870.0,7190.0,7810.0,8440.0,9100.0,9750.0,10430.0,11180.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,BRERA,3200,0.0,0,13810.0,16640.0,18090.0,19660.0,21370.0,23230.0,25250.0,27450.0,29830.0,32430.0,35020.0,37820.0,40850.0,44110.0,47640.0,51460.0,55570.0,60020.0,64820.0,70000.0,75600.0,81650.0,88180.0,95240.0,102100.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,Giulietta (LINEA BASE ESTANDAR),1400,0.0,0,750.0,5191.0,6518.0,8256.0,10127.0,11997.0,15173.0,19179.0,24115.0,25234.0,31763.0,35110.0,36160.0,39090.0,42260.0,45690.0,49400.0,53410.0,57740.0,62420.0,67480.0,72950.0,78870.0,85270.0,91330.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,Giulietta DISTINCTIVE 5P MT,1368,0.0,0,8430.0,15920.0,17280.0,18760.0,20370.0,22120.0,24010.0,26070.0,28300.0,30720.0,33350.0,35110.0,36160.0,39090.0,42260.0,45690.0,49400.0,53410.0,57740.0,62420.0,67480.0,72950.0,78870.0,85270.0,91330.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,Giulietta DISTINCTIVE 5P TP,1368,0.0,0,750.0,5999.0,7482.0,9142.0,10780.0,12583.0,15871.0,19921.0,25310.0,26395.0,30830.0,33470.0,36421.0,40210.0,42320.0,45750.0,49460.0,53470.0,57810.0,62500.0,67570.0,73050.0,78970.0,85370.0,91440.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,LINEAS Y CILINDRAJES NO INCLUIDOS ANTERIORES A AÑO BASE,1,0.0,0,6810.0,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,MiTo (LINEA BASE ESTANDAR),1400,0.0,0,3470.0,9219.0,10514.0,12208.0,14056.0,16103.0,18626.0,21326.0,23740.0,25770.0,27980.0,31940.0,33250.0,34420.0,35280.0,38140.0,41230.0,44570.0,48180.0,52090.0,56310.0,60880.0,65820.0,71160.0,76220.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,MiTo DISTINCTIVE 3P MT,1368,0.0,0,8250.0,16056.0,17452.0,18969.0,20618.0,22411.0,24359.0,26477.0,28775.0,31282.0,33350.0,35390.0,37550.0,39840.0,42150.0,45570.0,49270.0,53270.0,57590.0,62260.0,67310.0,72770.0,78670.0,85050.0,91100.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,MiTo DISTINCTIVE 3P TP,1368,0.0,0,5710.0,13360.0,14500.0,15740.0,17090.0,18550.0,20140.0,21870.0,23740.0,25770.0,27980.0,32120.0,33250.0,34420.0,35280.0,38140.0,41230.0,44570.0,48180.0,52090.0,56310.0,60880.0,65820.0,71160.0,76220.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,MiTo QUADRIFOGLIO 3P MT,1368,0.0,0,3930.0,11698.0,13391.0,15339.0,17730.0,20420.0,23507.0,27038.0,30557.0,33578.0,36678.0,37434.0,40689.0,44227.0,48072.0,51918.0,56071.0,60557.0,65401.0,70633.0,76283.0,82386.0,88977.0,96095.0,100710.0
AUTOMOVILES,AUTOMOVIL,ALFA ROMEO,Spider 2.2 JTS Selespeed TP,2198,0.0,0,11240.0,18280.0,19850.0,21550.0,23400.0,25400.0,27580.0,29940.0,32500.0,35280.0,37840.0,40560.0,43850.0,47410.0,51250.0,55410.0,59900.0,64760.0,70010.0,75690.0,81830.0,88470.0,95640.0,103400.0,110750.0
AUTOMOVILES,AUTOMOVIL,ALLARD,LINEAS Y CILINDRAJES NO INCLUIDOS ANTERIORES A AÑO BASE,1,0.0,0,2710.0,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMOVILES,AUTOMOVIL,ASTON MARTIN,LINEAS Y CILINDRAJES NO INCLUIDOS ANTERIORES A AÑO BASE,1,0.0,0,60870.0,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMOVILES,AUTOMOVIL,ASTON MARTIN,V8 ADVANTAGE,4280,,,26110.0,28760.0,30210.0,31740.0,33260.0,34960.0,36670.0,38550.0,40500.0,42450.0,44580.0,46870.0,49180.0,51640.0,54190.0,56910.0,59800.0,62780.0,65930.0,69250.0,117320.0,136650.0,146210.0,156460.0,167730.0
